Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,SERP Features,Trend
cocoa beach vacation home rentals,10,0,0,0,0,,"0.11,1.00,0.11,0.11,0.11,0.00,0.00,0.11,0.11,0.11,0.11,0.56"
comfort homes vacation rentals,10,0,0,0,0,,"0.00,0.00,0.50,0.50,1.00,0.00,0.00,0.50,0.00,0.50,0.00,0.00"
corfu vacation home rentals,10,0,0,0,0,,"0.00,0.14,0.14,0.00,1.00,0.14,0.14,0.00,0.00,0.00,0.29,0.00"
coronado vacation home rentals,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00"
croatia vacation home rentals,10,0,0,0,0,,"0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
deep wood vacation home rentals,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00"
deer valley vacation home rentals,10,0,0,0,0,,"0.20,0.20,0.00,0.40,0.00,1.00,0.00,0.20,0.20,0.00,0.20,0.00"
destin florida vacation home rentals,10,0,0,0,0,,"0.14,0.29,0.29,0.14,0.29,0.14,1.00,0.43,0.29,0.71,0.14,0.14"
destin vacation home rentals,10,0,0,0,0,,"1.00,0.11,0.11,0.78,0.11,0.11,0.78,0.78,0.11,0.22,1.00,0.11"
destin vacation home rentals on the beach,10,0,0,0,0,,"0.29,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.14,0.00,1.00,0.43"
disney vacation home rentals kissimmee,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00"
disney vacation rental home connection,10,0,0,0,0,,"1.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.71,0.00,0.00,0.00"
disney world vacation home rentals,10,0,0,0,0,,"0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00"
dream home vacation rentals,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.00,0.00,0.00,0.00,0.00"
dublin ireland vacation home rentals,10,0,0,0,0,,"0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
entire home vacation rentals,10,0,0,0,0,,"0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00"
family vacation home rentals,10,0,0,0.07,0,,"0.25,0.00,0.25,0.25,1.00,1.00,0.25,0.25,0.50,0.25,0.75,0.25"
feeling italy home vacation rentals,10,0,0,0.21,0,,"0.00,1.00,0.50,0.50,0.00,0.00,0.50,0.50,0.00,0.50,0.00,0.50"
flagstaff vacation rental homes,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00"
florida beach vacation home rentals,10,0,0,0,0,,"0.11,0.11,0.22,0.33,0.22,0.11,0.00,0.11,0.11,1.00,0.11,0.22"
florida keys vacation home rentals,10,0,0,0.14,0,,"0.20,0.40,0.20,0.20,1.00,0.20,0.40,0.20,0.40,0.80,0.20,0.40"
florida vacation home rentals by owner,10,0,0,0,0,,"0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33"
florida vacation home rentals with private pool,10,0,0,0,0,,"0.00,0.14,0.14,0.14,0.14,0.14,0.14,0.00,0.00,1.00,0.14,0.14"
folly beach vacation home rentals,10,0,0,0,0,,"1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00"
fort lauderdale vacation home rentals,10,0,0,0,0,,"0.25,0.75,0.25,0.50,0.00,0.25,0.25,0.25,0.00,0.25,1.00,0.25"
fort myers florida vacation rental homes,10,0,0,0,0,,"0.14,1.00,0.71,0.29,0.14,0.14,0.57,0.43,0.29,0.14,0.29,0.29"
fort walton beach vacation home rentals,10,0,0,0,0,,"0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
galveston vacation home rentals,10,0,0,0,0,,"0.00,0.50,0.50,0.50,0.00,0.50,1.00,0.50,0.00,1.00,0.50,0.50"
gulf shores alabama vacation home rentals,10,0,0,0,0,,"1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00"
hawaii vacation home rentals,10,0,0,0,0,,"0.20,0.20,1.00,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.40,0.20"
hilton head island vacation home rentals,10,0,0,0,0,,"1.00,0.50,1.00,0.50,0.00,0.00,0.50,0.50,0.50,0.50,1.00,0.50"
hilton head vacation home rentals,10,0,0,0.07,0,,"0.25,0.25,0.25,0.50,0.25,0.00,0.25,0.75,0.25,0.25,1.00,0.25"
hilton head vacation home rentals oceanfront,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00"
hollywood hills homes for vacation rental,10,0,0,0.5,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,1.00"
hollywood hills vacation home rentals,10,0,0,0.57,0,,"0.00,0.11,0.00,0.00,0.00,0.00,0.56,0.11,0.00,1.00,0.00,0.11"
home and away vacation rentals,10,0,0.74,0.24,0,,"0.14,0.43,0.14,0.57,0.14,1.00,0.14,0.14,0.14,0.29,0.14,0.71"
home and away vacation rentals florida,10,0,0,0,0,,"0.00,1.00,0.14,0.14,0.57,0.14,0.14,0.00,0.00,0.14,0.00,0.00"
home away from home vacation rentals florida,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00"
home away vacation rentals cape coral fl,10,0,0,0,0,,"0.00,0.00,0.50,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00"
home away vacation rentals fort myers beach,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00"
home away vacation rentals gulf shores alabama,10,0,0,0,0,,"0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
home away vacation rentals miami beach,10,0,0,0,0,,"0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
home away vacation rentals nashville,10,0,0,0,0,,"0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
home share vacation rentals,10,0,0,0,0,,"0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
home to go vacation rentals,10,0,0,0.19,0,,"0.22,1.00,0.11,0.11,0.44,0.22,0.11,0.11,0.11,0.11,0.11,0.11"
homes of america vacation rentals,10,0,0,0,0,,"0.00,0.75,1.00,0.25,0.50,0.25,0.75,0.00,0.50,0.25,0.25,0.00"
homeway homes vacation rentals,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00"
how to decorate a vacation rental home,10,0,0,0,0,,"0.00,0.00,0.00,1.00,0.20,0.00,0.00,0.00,0.60,0.40,1.00,0.20"
how to finance a vacation rental home,10,0,0,0,0,,"1.00,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
how to furnish a vacation rental home,10,0,0,0.14,0,,"0.11,0.11,0.00,0.11,0.00,0.00,1.00,0.00,0.00,0.78,0.00,0.22"
indian creek kissimmee fl vacation home rentals,10,0,0,0,0,,"0.00,0.00,0.33,0.33,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00"
ipg florida vacation home rentals,10,0,0,0.43,0,,"0.14,0.14,0.43,0.29,0.14,1.00,0.14,0.14,1.00,0.14,0.57,0.14"
ireland vacation rental homes,10,0,0,0,0,,"0.40,0.40,0.20,1.00,0.00,0.00,0.20,0.00,0.60,0.60,0.40,0.00"
jackson hole vacation home rentals,10,0,0,0,0,,"0.00,0.33,0.33,0.33,0.33,0.00,0.00,0.33,0.00,1.00,0.33,0.33"
jacksonville vacation home rentals,10,0,0,0,0,,"0.20,0.20,0.40,0.20,0.20,1.00,0.40,0.60,0.20,0.40,0.20,0.20"
kauai luxury vacation home rentals,10,0,0,0,0,,"1.00,0.14,0.43,0.14,0.14,0.14,0.00,0.00,0.29,0.14,0.00,0.14"
kauai vacation home rentals,10,0,0,0,0,,"0.44,0.11,0.11,1.00,0.11,0.11,0.22,0.11,0.11,0.11,0.11,0.11"
kauai vacation home rentals beachfront,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00"
key west vacation home rentals by owner,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.14,0.00,1.00"
kissimmee vacation home rentals,10,0,0,0,0,,"1.00,0.14,0.14,0.14,0.29,0.14,0.14,0.14,0.14,0.43,0.43,0.71"
kissimmee vacation home rentals by owner,10,0,0,0,0,,"0.20,1.00,0.20,1.00,0.60,0.20,0.20,0.40,0.20,0.20,0.20,0.20"
lake geneva vacation home rentals,10,0,0,0,0,,"0.00,0.00,0.00,1.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00"
lancaster pa vacation home rentals,10,0,0,0,0,,"0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
large family vacation home rentals,10,0,0,0.43,0,,"0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.00,1.00,0.20,0.00,0.60"
large vacation home rentals,10,0,0,0.29,0,,"0.25,0.25,1.00,0.25,0.25,0.75,0.25,0.25,0.25,0.25,0.25,0.75"
las vegas vacation home rentals,10,0,0,0.1,0,,"0.20,0.40,1.00,1.00,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.60"
last minute vacation home rentals,10,0,0,0,0,,"0.14,0.14,0.14,0.29,0.14,0.14,0.14,0.00,0.14,0.14,0.57,1.00"
lincoln city vacation home rentals,10,0,0,0,0,,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
luxury reunion vacation home rentals,10,0,0,0,0,,"1.00,0.33,0.33,0.33,0.33,0.00,0.33,0.00,0.33,0.00,0.00,0.00"
luxury vacation home rentals,10,0,0,0.02,0,,"0.29,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.00"
luxury vacation home rentals california,10,0,0,0,0,,"0.33,0.33,0.33,0.33,0.00,0.33,0.00,0.00,1.00,0.00,0.33,0.00"
luxury vacation home rentals caribbean,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00"
luxury vacation home rentals orlando,10,0,0,0.07,0,,"0.25,1.00,0.75,0.00,0.25,0.25,0.25,0.25,0.25,1.00,0.50,0.25"
luxury vacation rental homes in orlando florida,10,0,0,0,0,,"0.33,0.33,0.00,0.67,0.33,0.00,0.00,0.33,0.67,0.33,0.33,1.00"
madeira beach vacation home rentals,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.67"
mammoth lakes vacation home rentals,10,0,0,0,0,,"0.00,0.40,1.00,0.40,0.20,0.00,0.00,0.00,0.20,0.60,0.40,0.20"
mammoth vacation home rentals,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00"
marathon vacation home rentals,10,0,0,0,0,,"0.33,0.33,1.00,0.00,0.33,0.00,0.33,0.00,0.67,0.00,0.67,0.33"
massanutten vacation home rentals,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00"
maui vacation home rentals,10,0,0,0,0,,"0.33,0.33,0.67,0.33,0.33,0.67,1.00,0.33,0.33,0.33,0.67,0.33"
merida vacation home rentals,10,0,0,0,0,,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
miami beach luxury vacation home rentals,10,0,0,0,0,,"0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
miami vacation home rentals,10,0,0,0.14,0,,"0.14,0.14,0.14,0.71,0.14,1.00,0.14,0.14,0.29,0.71,0.14,0.14"
mobile home vacation rentals in bradenton florida,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00"
mobile home vacation rentals in florida,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.33,0.33,1.00,0.67"
modern home vacation rentals,10,0,0,0,0,,"1.00,0.33,0.33,0.00,0.00,0.00,0.00,0.67,0.00,0.00,1.00,0.00"
mountain home montana vacation rentals,10,0,0,0,0,,"0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.00,0.00"
mountain home montana vacation rentals bozeman mt,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00"
my home away vacation rentals,10,0,0,0,0,,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
my sedona place unique vacation rental home sedona az,10,0,0,0,0,,"0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00"
myrtle beach vacation home rentals,10,0,0,0,0,,"0.44,0.33,0.22,1.00,0.11,0.11,0.78,1.00,0.11,0.11,0.11,0.11"
nags head vacation home rentals,10,0,0,0,0,,"0.20,0.20,1.00,0.20,0.20,0.60,0.00,0.20,1.00,0.20,0.20,0.20"
napa valley vacation home rentals,10,0,0,0,0,,"0.14,0.14,1.00,0.14,0.29,0.29,0.71,0.00,0.43,0.14,0.00,0.14"
naples vacation home rentals,10,0,0,0,0,,"0.78,1.00,0.11,0.11,0.11,0.00,0.00,0.00,0.11,0.11,0.11,0.22"
north conway vacation home rentals,10,0,0.34,1,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00"
north myrtle beach vacation home rentals,10,0,0,0,0,,"0.14,0.14,0.29,0.14,0.14,0.71,1.00,0.00,1.00,0.43,0.14,0.14"
orange beach vacation home rentals,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00"
orlando florida vacation home rentals with private pool,10,0,0,0,0,,"0.25,1.00,0.25,0.75,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00"
orlando vacation home rentals,10,0,0.83,0.11,0,,"0.11,0.11,0.11,0.11,0.44,0.11,0.11,0.56,0.33,0.11,1.00,1.00"
orlando vacation home rentals by owner,10,0,0,0,0,,"0.14,0.14,1.00,0.14,0.14,0.29,0.14,0.14,0.14,0.14,0.14,0.14"
orlando vacation home rentals with private pool and game room,10,0,0,0,0,,"0.00,0.00,0.29,0.00,0.00,0.00,1.00,0.71,0.00,0.00,0.00,0.00"
orlando vacation home rentals with private pool pet friendly,10,0,0,0,0,,"0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00"
orlando vacation homes 360 rentals,10,0,0,0,0,,"0.25,0.25,0.50,0.25,0.25,0.25,0.25,1.00,0.25,0.00,0.50,0.25"
outer banks vacation home rentals,10,0,0,0.05,0,,"0.11,0.11,1.00,0.11,0.11,0.44,0.22,0.11,0.11,0.11,0.11,0.11"
palm springs vacation home rentals,10,0,0,0,0,,"0.33,0.33,0.33,0.33,0.33,0.33,1.00,0.33,0.33,0.33,0.33,0.33"
park city vacation home rentals,10,0,0,0,0,,"0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00"
pensacola beach vacation home rentals,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00"
pet friendly orlando vacation home rentals,10,0,0,0,0,,"0.11,0.11,0.11,0.11,0.11,0.33,0.11,1.00,0.11,0.11,0.11,0.11"
pet friendly vacation home rentals in florida,10,0,0,0,0,,"0.43,0.29,0.29,0.43,0.14,0.14,1.00,0.29,0.14,0.29,0.71,0.14"
pet friendly vacation home rentals in kissimmee florida,10,0,0,0,0,,"0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
poipu vacation home rentals,10,0,0,0,0,,"0.14,1.00,1.00,0.00,0.00,0.71,0.00,0.00,0.14,0.00,0.14,0.00"
ponte vedra vacation home rentals,10,0,0,0,0,,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
private pool vacation home rentals,10,0,0,0,0,,"0.40,0.40,0.60,1.00,0.20,0.20,0.20,0.40,0.20,0.20,0.20,0.00"
private pool vacation home rentals near me,10,0,0,0,0,,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.40,0.20,0.00,0.00"
private vacation home rentals,10,0,0,0,0,,"0.11,0.44,0.11,1.00,0.11,0.00,0.11,0.11,0.78,0.11,0.11,0.56"
punta cana vacation home rentals,10,0,0,0,0,,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
rental of vacation home,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.00,0.00"
rental vacation homes in bermuda,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00"
reunion vacation homes rental,10,0,0,0,0,,"1.00,0.33,0.33,0.33,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00"
russian river vacation home rentals,10,0,0,0,0,,"0.00,0.00,0.00,0.00,1.00,0.25,0.00,0.50,0.00,0.00,0.00,0.00"
sanibel island vacation home rentals,10,0,0,0.57,0,,"1.00,0.50,0.00,0.50,1.00,0.00,0.50,0.00,0.00,1.00,0.50,1.00"
sanibel vacation home rentals,10,0,0,0.5,0,,"1.00,0.33,0.33,0.00,0.00,0.33,0.00,0.00,0.33,0.33,0.33,1.00"
santa barbara vacation home rentals,10,0,0,0,0,,"0.00,0.43,0.14,1.00,0.00,0.00,0.14,0.00,0.00,0.14,0.00,0.14"
santa fe vacation rental homes,10,0,0,0,0,,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
santa monica vacation rental homes,10,0,0,0,0,,"1.00,0.00,0.00,0.25,0.25,0.25,0.00,0.00,0.00,0.25,0.25,0.50"
short term vacation homes rentals in accra,10,0,0,0,0,,"0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
smoky mountain vacation home rentals,10,0,0,0,0,,"0.78,0.33,0.00,1.00,0.11,0.00,0.11,0.00,0.00,0.11,0.11,0.00"
south lake tahoe vacation home rentals,10,0,0,0,0,,"0.33,0.33,0.33,0.00,0.00,0.33,0.33,0.00,1.00,0.33,0.33,0.33"
southern dunes vacation home rentals,10,0,0,0,0,,"1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00"
st augustine vacation home rentals,10,0,0,0,0,,"0.14,0.14,1.00,0.14,0.57,1.00,0.14,0.14,0.14,0.14,0.14,0.14"
st george island vacation home rentals,10,0,0,0,0,,"0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
st lucia vacation home rentals,10,0,0,0,0,,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
sugarloaf vineyard vacation rental homes,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00"
sweet home vacation rentals,10,0,0,0,0,,"0.11,0.22,1.00,0.00,0.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11"
sweet home vacation rentals reviews,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00"
sweet home vacation rentals yachats oregon,10,0,0,0,0,,"0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00"
tahoe vacation home rentals,10,0,0,0,0,,"0.11,0.00,1.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.22,0.22"
tampa vacation home rentals,10,0,0,0,0,,"0.14,0.71,0.14,0.57,0.43,0.00,1.00,0.14,0.43,0.14,0.29,0.00"
the waterfall house vacation rental home,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.20,0.00,0.00,0.00"
top vacation home rental sites,10,0,0,0,0,,"0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
trinidad beach home by redwood coast vacation rentals,10,0,0,0,0,,"0.00,0.00,1.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
trivago vacation home rentals,10,0,0,0.43,0,,"0.11,0.11,0.11,0.11,0.22,1.00,0.78,0.00,0.11,0.56,0.11,0.11"
tulemar vacation home rentals,10,0,0,0,0,,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
tulum vacation home rentals,10,0,0,0,0,,"0.50,0.50,0.00,0.00,0.50,0.00,1.00,0.50,0.00,0.00,0.50,0.00"
tybee island vacation home rentals,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00"
vacation home rental agreement,10,0,0,0.43,0,,"0.14,0.14,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.14,0.00,1.00"
vacation home rental income,10,0,0,0,0,,"0.00,1.00,0.33,0.00,1.00,0.33,0.33,0.67,0.33,0.00,0.33,0.33"
vacation home rental sites,10,0,0,0.03,0,,"0.22,0.44,0.11,0.56,0.11,0.11,0.11,1.00,0.11,0.11,0.11,0.33"
vacation home rental tax rules,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00"
vacation home rental websites,10,0,0,0,0,,"0.43,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.29,0.29,0.14,0.29"
vacation home rentals atlanta ga,10,0,0,0,0,,"0.00,0.00,0.22,1.00,0.11,0.00,1.00,0.00,0.00,0.22,0.44,0.78"
vacation home rentals austin tx,10,0,0,0,0,,"0.25,0.25,0.25,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00"
vacation home rentals bozeman mt,10,0,0,0,0,,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
vacation home rentals breckenridge co,10,0,0,0,0,,"0.11,0.00,0.78,0.33,0.00,0.11,0.11,1.00,0.11,0.00,0.44,0.11"
vacation home rentals by owner,10,0,0.82,0.12,0,,"0.57,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.57,0.14,1.00,0.14"
vacation home rentals cape coral florida,10,0,0,0,0,,"0.14,0.00,0.29,0.14,0.00,0.00,0.29,1.00,0.00,0.29,0.57,0.29"
vacation home rentals clearwater beach fl,10,0,0,0,0,,"0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00"
vacation home rentals clermont fl,10,0,0,0,0,,"0.00,0.00,0.25,0.00,1.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00"
vacation home rentals cocoa beach florida,10,0,0,0,0,,"0.25,0.25,0.25,1.00,0.50,0.25,0.25,0.25,0.25,0.50,1.00,0.25"
vacation home rentals colorado,10,0,0,0.09,0,,"0.67,0.33,0.67,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.67,1.00"
vacation home rentals dubai,10,0,0,0.24,0,,"0.00,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.67,0.33,1.00,0.33"
vacation home rentals florida,10,0,0,0.03,0,,"0.14,0.52,1.00,0.05,0.14,0.05,0.05,0.05,0.10,0.05,0.67,0.05"
vacation home rentals florida gulf coast,10,0,0,0,0,,"0.14,0.29,0.14,0.00,0.14,0.14,0.57,0.14,0.14,0.43,0.71,1.00"
vacation home rentals for weddings,10,0,0,0,0,,"0.11,0.11,0.22,0.00,0.00,0.00,0.22,1.00,0.33,0.11,0.11,0.00"
vacation home rentals fort myers beach,10,0,0,0,0,,"0.00,0.14,0.14,1.00,0.14,0.00,0.14,0.14,0.00,0.43,0.43,0.29"
vacation home rentals houston,10,0,0,0,0,,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
vacation home rentals in accra ghana,10,0,0,0,0,,"1.00,0.50,0.00,0.00,0.00,0.50,0.50,1.00,0.00,0.00,0.00,0.00"
vacation home rentals in manila philippines,10,0,0,0,0,,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
vacation home rentals in marco island florida,10,0,0,1,0,,"0.29,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.14,0.00,0.14"
vacation home rentals in montreal canada,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.14,0.00,1.00,0.00,0.00,0.00,0.00"
vacation home rentals in nh,10,0,0,0,0,,"0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00"
vacation home rentals in pennsylvania,10,0,0,0,0,,"0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00"
vacation home rentals in phoenix az,10,0,0,0,0,,"0.22,0.11,0.00,0.00,1.00,0.11,0.00,0.00,0.00,0.00,0.00,0.22"
vacation home rentals in phuket thailand,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00"
vacation home rentals in pigeon forge tn,10,0,0,0,0,,"0.14,0.14,0.14,0.00,0.14,0.00,0.00,0.29,0.29,1.00,0.71,0.00"
vacation home rentals in roatan honduras,10,0,0,0,0,,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
vacation home rentals in siesta key florida,10,0,0,0,0,,"0.25,0.00,0.25,1.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00"
vacation home rentals in venice florida,10,0,0,0,0,,"0.12,0.27,0.04,0.19,0.19,0.15,0.04,0.42,0.65,0.42,1.00,0.42"
vacation home rentals in virginia beach va,10,0,0,0,0,,"0.33,0.33,0.00,0.00,0.33,0.33,0.33,0.67,0.00,0.33,1.00,0.33"
vacation home rentals italy,10,0,0,0.86,0,,"0.20,0.00,1.00,0.20,0.00,0.00,0.40,0.20,0.20,0.20,0.40,0.20"
vacation home rentals jacksonville fl,10,0,0,1,0,,"0.00,0.00,0.00,0.25,0.50,0.00,0.25,0.25,1.00,0.25,0.25,0.25"
vacation home rentals london,10,0,0,0,0,,"0.33,0.00,0.33,0.33,0.33,1.00,0.33,0.00,0.00,0.33,0.33,0.00"
vacation home rentals london uk,10,0,0,0,0,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00"
vacation home rentals los angeles,10,0,0,0,0,,"0.14,0.29,0.14,0.14,0.71,0.14,0.14,0.14,1.00,0.14,0.14,0.00"
vacation home rentals los angeles ca,10,0,0,0.86,0,,"0.00,0.00,0.43,0.14,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.14"
vacation home rentals maryland,10,0,0,0,0,,"0.11,0.44,0.33,0.56,0.33,0.11,0.44,0.44,0.11,0.44,1.00,0.22"
vacation home rentals massachusetts,10,0,0,0,0,,"0.00,0.00,0.00,0.50,0.00,0.00,0.50,0.00,0.50,0.00,0.00,1.00"
